Prompt,GT_Keyframe,Top_1,Top_2,Top_3
What are feedlots?,47,047,048,018
What is weathering?,17,019,001,023
What is desertification and how much productivity loss does it cause to arid lands?,22,022,023,020
What is the conservation reserve programm of 1985?,29,031,024,027
GM crops today are engineered to resist: ,56,056,011,060
90% of energy is lost from one trophic level to the next,45,045,006,003
Risks of biocontrol?,40,040,062,059
As the populations increases pesticides lose their effectiveness,38,039,038,058
Substainable fertilizer use involves monitoring and targeting nutriets,36,036,035,034
What is overgrazing?,29,021,050,029
Why does the USDA issues labels?,71,063,071,066
How productive is organic farming?,69,069,067,065
What does soil in organic plots contain?,68,018,017,016
3 out of 4 Americans buy organic food at least occasionally,65,065,063,064
What are the farmer benefits?,64,031,030,064
What are the farmer risks?,64,064,048,030
What are the obstacles for consumers?,64,051,050,005
What is terracing,26,021,022,018
"people think that ""tinkering"" with food but other fear that food supply is dominated by large corporations",61,061,014,004
gm foos resistance to the week killer is being documented,59,059,060,056
When dod the dust bowl took place?,23,023,012,001
