Prompt,GT_Keyframe,Top_1,Top_2,Top_3
what is a binomial probability distribution?,18,002,034,033
x is a specific number of successes in n trials,25,024,026,060
P(F) = 1 -p ,23,027,025,026
what procedures does the binomial probability distribution results from?,29,019,034,033
What is the binomial probability formula?,58,086,060,059
What is the method 2 for finding the binomial probabilities?,80,059,081,058
How many NFL Football games betweem 1974 and 2011 there is?,85,084,085,087
What are the key concepts of the lecture,3,015,012,008
What is the probability of failure in the twitter example?,46,046,032,061
Using the given values of n x and q,65,060,058,044
probability of success remains the same in all trials,22,022,021,036
