Prompt,GT_Keyframe,Top_1,Top_2,Top_3
What are feedlots?,47,047,054,048
What is weathering?,17,019,026,023
What is desertification and how much productivity loss does it cause to arid lands?,22,022,020,032
What is the conservation reserve programm of 1985?,29,031,024,027
GM crops today are engineered to resist: ,56,056,011,060
90% of energy is lost from one trophic level to the next,45,045,003,070
Risks of biocontrol?,40,040,059,055
As the populations increases pesticides lose their effectiveness,38,039,038,037
Substainable fertilizer use involves monitoring and targeting nutriets,36,036,035,034
What is overgrazing?,29,021,029,050
Why does the USDA issues labels?,71,071,063,066
How productive is organic farming?,69,067,068,069
What does soil in organic plots contain?,68,018,017,016
3 out of 4 Americans buy organic food at least occasionally,65,065,063,066
What are the farmer benefits?,64,030,031,066
What are the farmer risks?,64,030,064,048
What are the obstacles for consumers?,64,051,005,050
What is terracing,26,021,022,018
"people think that ""tinkering"" with food but other fear that food supply is dominated by large corporations",61,061,014,051
gm foos resistance to the week killer is being documented,59,059,060,038
When dod the dust bowl took place?,23,023,024,035
